id	Q3
471462539097042944	1
470800278992998400	1
469632884236906496	1
467731695018721280	1
464986155109580800	1
462797726942765056	1
462639568404373505	1
462451404771438592	1
469945926522785792	1
472922987587731456	1
472915116724207616	1
472857035173011458	1
472845980845740032	1
472845681905115137	1
472800208292552705	1
472795930643931136	1
472578899738894336	1
472571327665434624	1
472552015344959488	1
472518499785773056	1
472516931593834496	1
472258571359768576	1
472186121930412032	1
472181243128582144	1
472146258283737088	1
471870569433268224	1
471837692121317376	1
471801578136272896	1
471799767518150657	1
471533880542257152	1
471424776373030912	1
471118352187162624	1
471095997394071552	1
471052614226812928	1
471018151556444160	1
471016961514536960	1
471008386792693760	1
470745900890222592	1
470683919445426176	1
470581689769791488	1
470409074589589504	1
470375766946226176	1
470367287568916480	1
470345533106954242	1
470304276829720576	1
470273606308462592	1
470265628721704962	1
470026157396869121	1
470008598852947969	1
469992801745518592	1
469983234130849792	1
469680949295591425	1
469584301974364161	1
469295792251883521	1
469277897468153856	1
468988689184739328	1
468907540831825920	1
468894989909774336	1
468883342616981507	1
468594234837467136	1
468241805436530688	1
468224869566783488	1
467857960799318016	1
467840382081200128	1
467830870804811776	1
467824519223476224	1
467822518230073344	1
467784827543257088	1
467660563569340416	1
467643371666698240	1
467497516368265217	1
467427878318395392	1
467097757334126592	1
467094972421120000	1
466805373706719233	1
466804536330690560	1
466746643866714112	1
466478623701344256	1
466413431101616128	1
466400952787161088	1
466341098278117376	1
466067145861124096	1
465968683660365824	1
465660196036296704	1
465615191380856833	1
465573974600990720	1
465508523313729536	1
465361289410523136	1
465332761977683968	1
465324549874405376	1
465312146944180226	1
465246344786214913	1
465220842058964992	1
465201581743693824	1
465181118187048961	1
464974284377436160	1
464920389626646528	1
464553997081526272	1
464255193627254784	1
464224947221843968	1
464155603485462529	1
464138490784280576	1
463853362761322496	1
463842022785175552	1
463838368673984512	1
463826933742960640	1
463825014681120769	1
463802899760295936	1
463721508058460161	1
463510565676384256	1
463472010262097920	1
463459732398018560	1
463357221053956096	1
463334491806003200	1
463332991675023362	1
463192447422849025	1
463108625859629056	1
463071515463135233	1
